state_code,income_bucket,loan_purpose,median_loan_amount_male,median_loan_amount_female,median_interest_rate_male,median_interest_rate_female,approvals_male,approvals_female,loan_amount_gap_male_minus_female,interest_rate_gap_male_minus_female
MO,Middle,2,55000.0,55000.0,7.75,7.75,2471,1336,0.0,0.0
NY,Low,1,145000.0,145000.0,6.625,6.624,9875,8483,0.0,0.001000000000000334
NC,High,32,275000.0,265000.0,7.0,7.0,2649,1059,10000.0,0.0
FL,Low,2,55000.0,55000.0,8.0,8.0,4043,4068,0.0,0.0
PR,Middle,2,100000.0,105000.0,6.875,6.625,12,7,-5000.0,0.25
KS,Low,2,35000.0,35000.0,8.0,7.99,458,439,0.0,0.009999999999999787
NV,Low,4,55000.0,55000.0,7.99,7.99,659,585,0.0,0.0
MT,Low,32,175000.0,155000.0,6.625,6.625,318,222,20000.0,0.0
NC,Middle,1,305000.0,295000.0,6.5,6.5,35633,22236,10000.0,0.0
TX,High,31,355000.0,315000.0,6.75,6.75,5142,1783,40000.0,0.0
ND,High,31,135000.0,125000.0,7.75,7.5,178,49,10000.0,0.25
FL,Low,31,125000.0,115000.0,7.202500000000001,7.1075,2416,2530,10000.0,0.09500000000000064
ND,High,2,75000.0,55000.0,7.99,7.99,278,95,20000.0,0.0
TN,High,31,265000.0,255000.0,7.5,7.25,2362,620,10000.0,0.25
MO,Low,1,155000.0,145000.0,6.75,6.75,12761,9895,10000.0,0.0
OK,High,2,75000.0,65000.0,8.125,8.0,1061,405,10000.0,0.125
NE,Middle,31,95000.0,105000.0,7.5,7.25,501,235,-10000.0,0.25
WY,Low,1,185000.0,175000.0,6.125,6.125,977,670,10000.0,0.0
FL,Middle,4,65000.0,65000.0,8.75,8.75,10912,6420,0.0,0.0
WA,High,2,105000.0,105000.0,8.0,7.99,5408,2886,0.0,0.009999999999999787
HI,High,32,555000.0,515000.0,6.625,6.875,317,135,40000.0,-0.25
AL,High,2,85000.0,75000.0,8.5,8.555,1490,550,10000.0,-0.054999999999999716
ME,Middle,4,65000.0,65000.0,8.0,7.75,745,421,0.0,0.25
IA,High,32,125000.0,125000.0,7.0,7.24,553,252,0.0,-0.2400000000000002
OK,High,31,245000.0,225000.0,7.25,7.21,770,180,20000.0,0.040000000000000036
IN,Middle,32,145000.0,135000.0,6.99,6.99,5507,2390,10000.0,0.0
AR,Middle,4,55000.0,55000.0,9.0,9.0,1306,633,0.0,0.0
MI,Middle,4,55000.0,55000.0,8.5,8.5,5452,3003,0.0,0.0
TN,High,2,105000.0,105000.0,8.28,8.25,2920,1056,0.0,0.02999999999999936
WA,Low,4,55000.0,55000.0,8.0,7.99,1086,997,0.0,0.009999999999999787
CA,High,4,145000.0,125000.0,8.69,8.5,14309,6995,20000.0,0.1899999999999995
TX,High,2,105000.0,105000.0,7.49,7.49,6222,2386,0.0,0.0
HI,Low,32,235000.0,185000.0,6.1625,6.25,98,57,50000.0,-0.08750000000000036
PR,Middle,31,165000.0,145000.0,5.875,6.5,49,24,20000.0,-0.625
VI,Middle,32,255000.0,485000.0,8.125,5.75,1,1,-230000.0,2.375
SC,High,1,405000.0,385000.0,6.625,6.75,13411,5805,20000.0,-0.125
KS,Low,31,55000.0,65000.0,7.3,7.223,417,375,-10000.0,0.07699999999999996
MO,Middle,31,115000.0,115000.0,7.375,7.1425,1727,834,0.0,0.23249999999999993
AL,High,31,205000.0,205000.0,7.6235,7.5,1456,355,0.0,0.12349999999999994
KY,High,4,105000.0,85000.0,8.0,8.25,1311,466,20000.0,-0.25
LA,High,1,345000.0,325000.0,6.75,6.75,5114,2060,20000.0,0.0
NE,Middle,2,55000.0,55000.0,7.75,7.75,814,385,0.0,0.0
CO,Middle,4,65000.0,65000.0,8.89,9.0,4339,2769,0.0,-0.10999999999999943
TN,Middle,1,305000.0,295000.0,6.625,6.625,22815,12369,10000.0,0.0
NM,Middle,1,275000.0,270000.0,6.75,6.75,5562,3148,5000.0,0.0
NY,High,4,115000.0,105000.0,7.74,7.5,4818,2010,10000.0,0.2400000000000002
WY,Middle,4,55000.0,55000.0,7.95,7.0,267,123,0.0,0.9500000000000002
WA,High,31,285000.0,205000.0,7.18,7.24,2472,1180,80000.0,-0.0600000000000005
MA,Low,32,165000.0,155000.0,6.5,6.5,776,810,10000.0,0.0
MT,Low,31,115000.0,115000.0,7.68,7.22,168,121,0.0,0.45999999999999996
IN,Middle,31,95000.0,105000.0,7.625,7.375,2809,1009,-10000.0,0.25
WA,High,32,355000.0,315000.0,7.25,7.375,2647,1160,40000.0,-0.125
MN,Middle,1,285000.0,275000.0,6.625,6.75,15805,10890,10000.0,-0.125
HI,Low,31,145000.0,155000.0,5.474,5.875,109,153,-10000.0,-0.4009999999999998
MT,Low,2,55000.0,45000.0,8.5,8.55,203,191,10000.0,-0.05000000000000071
NE,Middle,32,165000.0,145000.0,6.99,6.99,913,440,20000.0,0.0
VI,High,1,405000.0,465000.0,8.125,8.125,8,5,-60000.0,0.0
TX,High,32,215000.0,205000.0,7.375,7.375,8917,3280,10000.0,0.0
RI,Low,1,245000.0,225000.0,6.5,6.562,529,555,20000.0,-0.06200000000000028
TN,High,32,255000.0,225000.0,7.25,7.25,2153,841,30000.0,0.0
NJ,Low,4,55000.0,55000.0,8.0,7.99,790,816,0.0,0.009999999999999787
LA,Middle,1,235000.0,235000.0,6.75,6.75,10120,5360,0.0,0.0
KS,Low,32,105000.0,105000.0,6.625,6.625,852,681,0.0,0.0
MA,Low,31,135000.0,115000.0,7.25,7.25,770,824,20000.0,0.0
OK,Low,1,155000.0,145000.0,6.75,6.75,8019,5672,10000.0,0.0
MO,Middle,32,185000.0,165000.0,6.75,6.75,3015,1488,20000.0,0.0
MA,Low,2,55000.0,55000.0,7.74,7.5,954,1086,0.0,0.2400000000000002
AZ,Low,1,235000.0,225000.0,6.49,6.49,9241,7293,10000.0,0.0
PA,Low,4,45000.0,45000.0,7.5,7.44,3995,3236,0.0,0.05999999999999961
IA,High,2,65000.0,55000.0,7.75,7.5,1071,545,10000.0,0.25
ND,High,32,140000.0,125000.0,6.8625,6.74,140,56,15000.0,0.12249999999999961
HI,Low,2,95000.0,95000.0,5.55,5.3,103,137,0.0,0.25
HI,High,2,205000.0,205000.0,5.35,5.25,735,307,0.0,0.09999999999999964
