lender_id,controlled_groups,avg_gap_male_minus_female,avg_disparate_impact,male_favored_groups,female_favored_groups
549300FFVDRROF85IC57,14,0.0712819666860385,0.7866812439696046,14.0,0.0
NSGZD26XPW2CUM2JKU70,15,-0.06710038239332154,1.114199867372264,2.0,13.0
549300SJTLYB6ZWKPR88,12,0.0634817966499498,0.9043899264645612,10.0,2.0
549300CEHN5CVC6INV48,10,0.06308745510495853,0.9151089771662827,8.0,2.0
549300E3QJQLKVB40W93,10,-0.057254135673203574,1.0966090556625259,2.0,8.0
5493007B1GAUZGYHPR07,11,-0.05170528618615166,1.0933514889172211,1.0,10.0
254900DTLHVWQ7NP7R34,10,-0.05102677944297087,1.0862595043767092,3.0,7.0
549300UG7QXKM7KGV847,20,-0.05100411237785818,1.0941316270762333,5.0,15.0
549300K4ZLGS7SRDTL86,14,0.047304896081027316,0.9277162009100717,10.0,4.0
549300YN94MOAVYW0F52,23,-0.046680429004065986,1.104139097705066,4.0,18.0
549300Q10M1VXBG2H889,10,-0.04534588555495852,1.2272145683538913,2.0,8.0
549300CB67L6KPJLHE19,66,0.04502931533640756,0.9111099929802035,56.0,10.0
5493003GQDUH26DNNH17,216,0.04332669684261727,0.9125863496657133,159.0,57.0
549300S99IK3EU11AS13,11,-0.04238489555852679,1.064813519204742,2.0,9.0
54930085BPQMVH9JFX69,10,-0.04217482858840595,1.0805031201179596,4.0,6.0
54930030Z1JWTP3SVD16,10,-0.04212924665933396,1.16322057597811,4.0,6.0
5493002RF1ERFA2XR050,14,0.04039642174529734,0.9498589358478566,10.0,4.0
5493000FWM3I2HHQY149,10,-0.039475222352141494,1.0833385913245341,1.0,9.0
549300Y4BSP3BSFW7J29,11,0.03780116610977769,0.9402430820216342,9.0,2.0
5493001NJEVHTZW7FG34,11,-0.03690252271197991,1.0636253886824383,3.0,8.0
549300KWXO8FUM7L0E14,12,-0.03680690451260768,1.0669266231626018,5.0,7.0
549300SXT4VBB68QCC26,10,0.03634717040819653,0.9516069224368511,6.0,4.0
5493002B2WMHY23GFK92,14,0.03562675918430031,0.9204355326527172,11.0,3.0
5493004N9PMBSLEZOF16,13,0.035509275888960135,0.9482087162838035,9.0,4.0
549300Z7KF7I03AULW22,10,-0.03521663235300236,1.0687181672787938,3.0,7.0
549300CY7WNAHKHYSJ73,19,0.034710197912389086,0.9563566429434354,15.0,4.0
5493008CPTDVOS570626,44,0.034703581708125916,0.9319798935867357,31.0,13.0
LVR1UQE8OOCO93IHEB52,14,-0.034507287489016034,1.0604296325080071,4.0,10.0
5493009BD405QQTMXO12,11,0.034285611721979456,0.9580726476616981,9.0,2.0
549300HFBEONQN2CK447,12,-0.033929473891743216,1.0514807234091423,3.0,9.0
5493008VVXQIDO1EZ460,17,0.03383398773505282,0.9570684733054187,12.0,5.0
5493009LKZIV63KY6458,11,-0.0330690243758077,1.081769629304256,3.0,8.0
5493001XKL0FTNOJ0866,17,0.03161659240953839,0.9564114267157817,11.0,6.0
549300ZJIC4LOLZH0M42,11,-0.03131156662272703,1.0630281043830625,2.0,9.0
549300KUYF5QOROM7N37,11,0.031135491313025013,0.960141704976947,9.0,2.0
54930049L5WINET09Q97,19,0.030616618775359365,0.9573417948247701,16.0,3.0
S0Q3AHZRL5K6VQE35M07,12,0.02867165824161951,0.9537664898022049,8.0,4.0
549300Q3ROEQU3D1IW91,42,0.0285009082581482,0.9002749020466604,29.0,13.0
549300KY533JFETOYG46,14,0.028468293308986505,0.9620455591457585,11.0,3.0
5493000EO85W8IS2FR22,10,-0.028385830776788766,1.053714962962729,3.0,7.0
549300XQVJ1XBNFA5536,91,0.02816739439269443,0.873977788805713,74.0,17.0
TKT6FH38184ZYBTPKS77,12,-0.02747693734091813,1.07590004503601,4.0,8.0
549300UI36AJZ0WZ4U93,15,0.027203395400648367,0.9587261233395158,10.0,5.0
549300KIOYNU323LVJ37,46,0.026896485549344946,0.9637300730377739,30.0,16.0
254900TTZ395IC926125,12,0.0268568220813639,0.9678956652864198,9.0,3.0
549300JPGMCMBEJEK584,15,0.026568709357112107,0.9864641871620666,8.0,7.0
COINQMNIM6RBU631DD85,33,0.02652615409258225,0.9513814373412617,21.0,12.0
549300R0SXC1JU7ZU290,14,0.026511603863139728,0.968998021421913,10.0,4.0
549300GRGZDEH4ZGQS06,17,-0.026443874504428304,1.0370209965209323,6.0,11.0
549300PT6CCDYU4VHM41,12,0.02624669599956973,0.9632304785506037,8.0,4.0
549300S5YL3OH0IVCS62,13,-0.02613326604240049,1.0443785924273872,4.0,9.0
549300GS0W0TEUQS8571,14,-0.026107323862010146,1.0314861132289133,4.0,10.0
54930030S6J5KOL5LJ73,11,-0.025755492885293507,1.0555671842985668,4.0,7.0
549300NB3SBC1KHAWB92,10,0.02558392974444699,0.9701211457217713,8.0,2.0
Q7C315HKI8VX0SSKBS64,31,0.025535863233926776,0.9908209268491665,18.0,13.0
549300TOOOOW36EX6R40,13,-0.02536771461448362,1.050083102460181,3.0,10.0
G5AHTAP80NWA3Q8RDC78,12,-0.025132872846006297,1.0493767310206465,5.0,7.0
549300YIQ7S7Z8PIHE53,96,-0.024916442846311188,1.1994354952421087,27.0,69.0
5493000YNV8IX4VD3X12,68,0.024686314441656813,0.9059293779631472,49.0,18.0
549300WYBPIWKK6SQC06,17,0.02443038232915376,0.968940811013847,12.0,5.0
WE0I402RW25AU38DTI13,10,-0.02424278260570483,1.0510484843937036,5.0,4.0
549300SK2GVCQXPD4S58,13,0.02398395713598661,0.9598737842586259,9.0,4.0
549300PC4MFWQBNVKG88,12,0.023787213599906393,0.9727443091861301,9.0,3.0
2549008LK3474E9U2888,14,-0.023738785755968946,1.0383406658737115,6.0,8.0
5493000NYUJT9UC6G261,18,0.023546789485197974,0.9691060520111391,11.0,7.0
ZF85QS7OXKPBG52R7N18,17,0.022928884754673366,0.9916097231485845,12.0,5.0
549300SUCQ1358EGVE89,20,0.02290925302172934,0.8832118232548256,14.0,6.0
549300AT7EB9FJAF0E61,17,-0.022710419241442854,1.0649537449337168,6.0,11.0
549300OBO7DOF2KOP535,19,0.02263421892965708,0.9572532509655931,14.0,5.0
549300YKTME1U7Z0UN20,12,-0.022633228619549944,1.0345014007217752,5.0,7.0
E57ODZWZ7FF32TWEFA76,16,-0.022488664760587584,1.0516163216846837,4.0,12.0
549300YD7XJM19TH5O82,10,0.022413017267608186,0.9603224171382438,6.0,4.0
70WY0ID1N53Q4254VH70,18,-0.022108859792927666,1.064964841016937,6.0,12.0
8I3UVGYULPJQIP7FQV10,28,0.02168706861627596,0.9729733124102223,19.0,9.0
EQTWLK1G7ODGC2MGLV11,120,0.021012231489992452,0.9660892869557631,76.0,44.0
549300KM40FP4MSQU941,13,-0.020868984090955965,1.042060783801425,3.0,10.0
01J4SO3XTWZF4PP38209,19,0.020680565905572917,0.9722100987983687,12.0,7.0
549300TM179TSKK3HQ94,16,0.020105557323300396,0.9756121184231216,10.0,6.0
549300K7224BC1IAX207,13,0.020019955685918814,0.9684001951037197,8.0,5.0
549300QIUZLVR1OLDH55,11,-0.019951870155315122,1.0347148933795922,3.0,8.0
5493008NWHQT1R22C024,32,0.01960408298139151,0.9659716485436671,20.0,12.0
5493002Y5XYV7DV1ZV88,10,-0.019534665023894605,1.0250712318128132,4.0,6.0
549300GY4NTTEM7WWB64,18,-0.019429132001190102,1.0287454867829646,6.0,12.0
254900WEP08K7U7S3A80,18,0.01922863218141481,0.9813718257526843,11.0,6.0
549300MRP46SVQMWOE81,11,0.01920296217750288,0.982378120237912,8.0,3.0
549300ZZME37MXI1EF14,17,0.019167939434153097,0.9834749479162919,11.0,6.0
5493001R92DY5DI1DI85,18,-0.019166840463659837,1.0261629852782896,7.0,11.0
5493007I0X1GRWIU8B34,24,-0.01887948100367162,1.028280859673682,7.0,17.0
DX0JX77PRMOELF7VG772,23,0.018044703985936463,0.9777205165814457,16.0,7.0
549300HFXTV55C2HHM89,12,-0.017872844675816447,1.0463067628958564,3.0,9.0
VN1JLT1F3FLLVN3FZG89,18,0.017580308122996473,0.97401345288692,11.0,7.0
549300KBWX4NV5Q1E376,34,0.017474232995361428,0.9760417317847702,23.0,11.0
549300YB1H2FRI6JPM51,15,-0.01741976290720347,1.02610982923999,5.0,10.0
5493007VW2EU20PZYU97,21,0.017306766313448477,0.9795756216172629,16.0,5.0
549300PXL1KA5TOL2O82,15,0.017192027270968482,0.9816243714178732,10.0,5.0
KB1H1DSPRFMYMCUFXT09,183,-0.017182384656095753,1.0633916337842986,70.0,113.0
KI0VI4JRMCIJ329YTN75,11,0.017087987070276246,0.9762092637062755,5.0,6.0
549300MZ8VZJOVC63092,20,0.017046214516533945,0.9740661847525365,12.0,8.0
549300QR0KFPEDZPEI42,19,0.017027582104058143,0.9770167066827362,14.0,5.0
549300WWLOUWIJ1Q0H29,12,-0.016925781190709973,1.0291148631939697,4.0,8.0
COOWI3L2W9TPYR3WJX37,28,0.016807828983737057,0.9685941449317946,15.0,13.0
549300BDHZAV4ZQHQV19,14,-0.016776579581404577,1.0286621901096769,5.0,9.0
549300NJVKCDJA5YC939,13,0.01620962709590664,0.9809485814448577,7.0,6.0
T68X8LLAQYRNDV034K14,32,0.01588743005906107,0.9845619308593154,19.0,13.0
5493004WMLN60ZJ2ON46,39,0.015841631800112645,0.9793799908110483,25.0,14.0
5493001SXWZ4OFP8Z903,69,0.015734092015283162,0.9796823225461826,47.0,22.0
549300VORTI31GZTJL53,61,0.015376153370817113,0.981085365095797,39.0,22.0
