state_code,significant_groups,avg_approval_gap_male_minus_female,avg_disparate_impact,male_favored_groups,female_favored_groups
GA,13,0.025825799402639855,0.955233815507615,10.0,3.0
MO,12,0.027393669292821474,0.9595267051686346,10.0,2.0
TN,12,0.02153689111788491,0.9685485497748988,9.0,3.0
CA,12,-0.03029087826417352,1.0788523304115747,1.0,11.0
AR,11,0.04082073250083424,0.9294819153724309,9.0,2.0
IN,11,0.03597735832254045,0.9469924517835566,9.0,2.0
NJ,11,-0.024553746496540508,1.0664481223135511,1.0,10.0
AL,11,0.031225774394284925,0.9540908920605923,9.0,2.0
OH,10,0.01552724764959167,0.9773602487462357,8.0,2.0
PA,10,0.006341552728006183,0.9960470271139453,7.0,3.0
OK,9,0.00991336402347421,0.9978804633197834,6.0,3.0
NC,9,0.015223372534740444,0.9820566224699454,6.0,3.0
LA,9,0.04963326688128402,0.9197609473366314,8.0,1.0
FL,8,0.0026807544576718245,1.0030161470054837,5.0,3.0
MS,8,0.08781509635286787,0.8490593608163249,8.0,0.0
IL,8,0.03384095875062819,0.9410400346629839,8.0,0.0
KY,8,0.02252178819620429,0.9738933507377664,6.0,2.0
SC,8,0.013962962254012133,0.9830924337368644,5.0,3.0
TX,8,0.004020984639913239,0.9870679067245677,4.0,4.0
VA,7,-0.0042976582786364214,1.0168522790825514,3.0,4.0
WI,7,0.013150844116403168,0.9839258549782982,5.0,2.0
CO,6,-0.027781294182813637,1.0684351145918418,2.0,4.0
IA,6,0.013378002659260757,0.9934652857431333,4.0,2.0
MD,6,-0.0016707965331943149,1.0223544290408395,3.0,3.0
MI,6,0.0017621837681022119,1.0031002726012284,3.0,3.0
ID,6,0.01639248837177006,0.9796276050246558,4.0,2.0
NY,5,-0.01012856036973916,1.021223401151524,2.0,3.0
MA,5,-0.029845027022108516,1.073995723287842,0.0,5.0
WA,5,-0.0234603381097515,1.0456207388357215,0.0,5.0
KS,5,-0.002900525306216495,1.019741978554565,3.0,2.0
RI,5,-0.04918872228407979,1.094456784225346,0.0,5.0
MN,4,0.02694487622144226,0.9614535454099327,4.0,0.0
NH,4,-0.041112659214274885,1.115795395426208,1.0,3.0
NE,4,0.01998071488225997,0.9758929068374328,3.0,1.0
DE,3,-0.021229268368095227,1.0645135752971235,1.0,2.0
OR,3,-0.010721373399551945,1.0224286619587692,1.0,2.0
WY,3,0.04738031318404242,0.9477605657485958,2.0,1.0
NV,3,-0.0584578161908886,1.1368101695345905,0.0,3.0
HI,3,-0.10547675145534313,1.2984683056829622,0.0,3.0
NM,3,-0.03829865932820516,1.0970653525046319,1.0,2.0
UT,3,0.0118313609081054,0.9859269736767629,2.0,1.0
WV,3,0.037437962803835156,0.9388698486034541,2.0,1.0
ME,3,-0.06986164186722373,1.1306778834978977,0.0,3.0
AZ,3,-0.00877242421970618,1.0234032944910432,1.0,2.0
CT,2,-0.04094046665006218,1.107198162753786,0.0,2.0
ND,2,0.0719147903703573,0.9084824585666412,2.0,0.0
SD,2,0.0658799142890018,0.8929059660588645,2.0,0.0
PR,2,-0.0905618913334264,1.146270793892993,0.0,2.0
MT,2,0.072484611628652,0.8955381718586761,2.0,0.0
VT,1,-0.08428201653670453,1.1629231107067792,0.0,1.0
DC,1,-0.12891185759402812,1.263962375073486,0.0,1.0
